message_type,name,value,length,offset,notes
C,execution_price,price_4,4,32,The Price at which the order execution occurred. Refer to Data Types for field processing notes
X,stock_locate,integer,2,1,Locate code identifying the security
X,tracking_number,integer,2,3,Nasdaq internal tracking number
X,timestamp,integer,6,5,Nanoseconds since midnight
X,order_reference_number,integer,8,11,The reference number of the order being canceled
X,cancelled_shares,integer,4,19,The number of shares being removed from the display size of the order as a result of a cancellation
D,stock_locate,integer,2,1,Locate code identifying the security
D,tracking_number,integer,2,3,Nasdaq internal tracking number
D,timestamp,integer,6,5,Nanoseconds since midnight
D,order_reference_number,integer,8,11,The reference number of the order being canceled
U,stock_locate,integer,2,1,Locate code identifying the security
U,tracking_number,integer,2,3,Nasdaq internal tracking number
U,timestamp,integer,6,5,Nanoseconds since midnight
U,original_order_reference_number,integer,8,11,The original order reference number of the order being replaced
U,new_order_reference_number,integer,8,19,"The new reference number for this order at time of replacement 
Please note that the Nasdaq system will use this new order reference number for all subsequent updates"
U,shares,integer,4,27,The new total displayed quantity
U,price,price_4,4,31,The new display price for the order
P,stock_locate,integer,2,1,Locate code identifying the security
P,tracking_number,integer,2,3,Nasdaq internal tracking number
P,timestamp,integer,6,5,Nanoseconds since midnight.
P,order_reference_number,integer,8,11,"The unique reference number assigned to the order on the book being executed. 
Effective December 6, 2010, Nasdaq will populate the Order Reference Number field within the Trade (Non-Cross) message as zero. For the binary versions of the TotalView-ITCH data feeds, the field will be null-filled bytes (which encodes sequence of zero)"
P,buy_sell_indicator,alpha,1,19,"The type of non-display order on the book being matched 
B = Buy Order 
S = Sell Order 
Effective 07/14/2014, this field will always be B regardless of the resting side"
P,shares,integer,4,20,The number of shares being matched in this execution
P,stock,alpha,8,24,"Stock Symbol, right padded with spaces"
P,price,price_4,4,32,The match price of the order. Please refer to Data Types for field processing notes
P,match_number,integer,8,36,"The Nasdaq generated session unique Match Number for this trade 
The Match Number is referenced in the Trade Break Message"
Q,stock_locate,integer,2,1,Locate code identifying the security
Q,tracking_number,integer,2,3,Nasdaq internal tracking number
Q,timestamp,integer,6,5,Nanoseconds since midnight.
Q,shares,integer,8,11,The number of shares matched in the Nasdaq Cross.
Q,stock,alpha,8,19,"Stock symbol, right padded with spaces"
Q,cross_price,price_4,4,27,The price at which the cross occurred. Refer to Data Types for field processing notes.
Q,match_number,integer,8,31,The Nasdaq generated day-unique Match Number of this execution
Q,cross_type,alpha,1,39,"The Nasdaq cross session for which the message is being generated. 
O = Nasdaq Opening Cross.     
C = Nasdaq Closing Cross.     
H = Cross for IPO and halted / paused securities."
B,stock_locate,integer,2,1,Locate code identifying the security
B,tracking_number,integer,2,3,Nasdaq internal tracking number
B,timestamp,integer,6,5,Nanoseconds since midnight.
B,match_number,integer,8,11,"The Nasdaq Match Number of the execution that was broken. This refers to a Match Number from a previously transmitted Order Executed Message, Order Executed With Price Message, or Trade Message."
I,stock_locate,integer,2,1,Locate code identifying the security
I,tracking_number,integer,2,3,Nasdaq internal tracking number
I,timestamp,integer,6,5,Nanoseconds since midnight.
I,paired_shares,integer,8,11,The total number of shares that are eligible to be matched at the Current Reference Price.
I,imbalance_shares,integer,8,19,The number of shares not paired at the Current Reference Price.
I,imbalance_direction,alpha,1,27,"The market side of the order imbalance. 
B = buy imbalance 
S = sell imbalance 
N = no imbalance 
O = Insufficient orders to calculate"
I,stock,alpha,8,28,"Stock symbol, right padded with spaces"
I,far_price,price_4,4,36,A hypothetical auction-clearing price for cross orders only. Refer to Data Types for field processing notes.
I,near_price,price_4,4,40,A hypothetical auction-clearing price for cross orders as well as continuous orders. Refer to Data Types for field
I,current_reference_price,price_4,4,44,The price at which the NOII shares are being calculated. Refer to Data Types for field processing notes.
I,cross_type,alpha,1,48,"The type of Nasdaq cross for which the NOII message is being generated 
O = Nasdaq Opening Cros
C = Nasdaq Closing Cross 
H = Cross for IPO and halted / paused securities"
I,price_variation_indicator,alpha,1,49,"This field indicates the absolute value of the percentage  of deviation of the Near Indicative Clearing Price to the nearest Current Reference Price. L = Less than 1
1 = 1 to 1.99% 
2 = 2 to 2.99% 
3 = 3 to 3.99% 
4 = 4 to 4.99% 
5 = 5 to 5.99% 
6 = 6 to 6.99% 
7 = 7 to 7.99% 
8 = 8 to 8.99% 
9 = 9 to 9.99% 
A = 10 to 19.99% 
B = 20 to 29.99% 
C = 30% or greater 
<Space> = Cannot be calculated"
